date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm
2016-07-24,30,24,1004.37,89,52,34,27,26,22,1006,1000,0.0
2016-07-25,30,24,1004.21,89,43,35,26,25,22,1006,1001,0.0
2016-07-26,30,24,1004.40,89,50,35,26,25,23,1007,1000,0.0
2016-07-27,27,25,1005.23,94,69,30,24,27,23,1007,1002,6.0
2016-07-28,28,25,1003.98,100,66,32,24,26,24,1006,1001,36.0
2016-07-29,27,25,1002.77,100,66,31,23,27,24,1005,999,21.0
2016-07-30,28,25,1002.82,100,59,32,23,26,25,1005,999,9.0
2016-07-31,28,26,1002.30,100,55,33,24,26,24,1005,999,0.0
2016-08-01,28,25,1000.50,94,68,32,24,26,24,1003,997,9.0
2016-08-02,26,25,998.93,100,84,27,24,27,24,1001,995,35.0
2016-08-03,28,25,999.11,100,57,32,23,28,24,1002,995,16.0
2016-08-04,27,26,999.88,100,74,30,24,27,25,1002,996,15.0
2016-08-05,28,26,1000.86,94,65,32,24,27,25,1003,996,0.0
2016-08-06,30,26,1000.87,89,38,33,26,27,16,1003,997,0.0
2016-08-07,29,26,1001.42,94,56,33,25,27,25,1004,997,0.0
2016-08-08,28,26,1001.07,100,66,31,25,27,25,1003,997,23.0
2016-08-09,28,26,999.40,96,65,32,24,27,25,1002,995,2.0
2016-08-10,26,25,1000.64,100,28,29,24,26,6,1003,998,26.0
2016-08-11,25,25,1003.11,100,88,27,23,26,24,1006,1000,5.0
2016-08-12,26,25,1004.53,100,63,31,22,26,23,1010,1001,0.0
2016-08-13,28,25,1003.62,100,63,32,24,26,24,1006,1000,0.0
2016-08-14,28,25,1003.22,100,60,32,23,25,24,1005,999,0.0
2016-08-15,28,23,1002.53,89,47,32,24,25,22,1004,999,0.0
2016-08-16,27,23,1000.88,94,44,32,22,24,21,1003,997,0.0
2016-08-17,28,23,1001.42,89,54,32,23,25,22,1004,997,2.0
2016-08-18,26,24,1002.27,94,69,30,23,25,22,1005,999,2.0
2016-08-19,28,25,1001.45,89,63,32,24,26,23,1004,997,0.2
2016-08-20,28,24,1000.19,94,58,30,25,26,23,1002,996,0.1
2016-08-21,24,23,1001.04,100,78,25,22,24,22,1003,998,0.8
2016-08-22,26,25,1003.27,100,70,29,22,26,24,1005,1000,0.3
2016-08-23,26,25,1004.14,100,61,29,24,26,23,1013,1000,7.0
2016-08-24,26,25,1002.41,100,81,28,23,26,24,1005,999,14.0
2016-08-25,27,25,1005.87,100,60,31,23,26,23,1008,1002,0.0
2016-08-26,31,24,1006.63,94,36,39,23,26,23,1009,1003,0.0
2016-08-27,28,25,1007.15,94,57,32,25,27,23,1010,1003,0.0
2016-08-28,26,25,1007.44,100,70,30,21,27,23,1010,1003,18.0
2016-08-29,28,25,1005.08,100,57,33,23,26,24,1007,1000,0.0
2016-08-30,28,25,1003.73,100,70,33,24,27,24,1006,1000,4.0
2016-08-31,30,25,1003.96,100,55,34,25,27,22,1006,999,8.0
2016-09-01,26,24,1004.58,100,73,30,23,26,22,1007,1001,0.8
2016-09-02,28,24,1003.95,97,40,33,24,25,20,1006,1000,0.0
2016-09-03,28,23,1004.00,94,50,33,23,25,21,1006,1000,0.0
2016-09-04,27,22,1006.34,89,29,32,22,23,16,1009,1003,0.0
2016-09-05,28,21,1007.00,89,45,32,23,22,20,1009,1003,0.0
2016-09-06,28,21,1007.47,83,42,32,23,22,19,1010,1004,0.0
2016-09-07,28,21,1006.89,83,41,33,23,22,20,1009,1003,0.0
2016-09-08,29,21,1007.97,83,41,34,24,22,21,1010,1005,0.0
2016-09-09,28,20,1009.06,74,35,34,23,22,18,1012,1004,0.0
2016-09-10,28,20,1008.09,78,38,34,23,21,19,1011,1004,0.0
2016-09-11,29,20,1007.07,74,37,34,24,21,19,1009,1003,0.0
2016-09-12,28,20,1007.23,79,33,34,22,21,18,1009,1003,0.0
2016-09-13,30,20,1008.54,69,31,35,25,22,19,1011,1004,0.0
2016-09-14,28,21,1008.51,82,38,34,23,23,19,1011,1004,0.0
2016-09-15,30,21,1007.28,78,32,35,24,24,18,1010,1002,0.0
2016-09-16,30,19,1006.26,70,22,36,24,23,16,1010,1001,0.0
2016-09-17,30,19,1005.32,73,20,37,22,22,14,1008,1000,0.0
2016-09-18,30,20,1006.23,78,23,36,23,23,17,1009,1002,0.0
2016-09-19,30,20,1005.76,78,24,37,24,23,16,1008,1001,0.0
2016-09-20,32,20,1004.84,79,17,37,26,24,10,1007,999,0.0
2016-09-21,32,20,1006.52,66,20,38,26,23,16,1009,1001,0.0
2016-09-22,30,22,1008.43,78,33,36,24,24,18,1011,1001,0.0
2016-09-23,28,21,1006.43,83,36,34,22,23,18,1009,1001,57.0
2016-09-24,26,21,1005.24,94,46,34,19,25,17,1008,1001,0.0
2016-09-25,28,22,1006.38,89,38,33,22,23,18,1009,1002,0.0
2016-09-26,28,21,1007.69,83,34,34,22,23,19,1010,1004,0.0
2016-09-27,30,20,1008.02,83,25,36,23,23,16,1011,1003,0.0
2016-09-28,30,18,1006.98,74,22,36,25,22,14,1010,1002,0.0
2016-09-29,30,18,1006.79,66,17,36,24,21,7,1009,1002,0.0
2016-09-30,30,20,1007.09,78,4,35,24,22,-22,1009,1002,0.0
2016-10-01,30,22,1008.35,74,34,35,25,23,21,1011,1004,0.0
2016-10-02,31,23,1010.00,79,42,36,26,24,21,1013,1005,0.0
2016-10-03,31,23,1008.69,84,35,36,26,26,21,1012,1003,2.0
2016-10-04,30,22,1006.96,83,32,36,25,24,20,1009,1002,0.0
2016-10-05,27,23,1006.93,100,47,31,23,24,21,1009,1000,13.0
2016-10-06,26,24,1008.74,100,58,31,22,25,21,1011,1006,0.9
2016-10-07,28,23,1009.20,100,40,34,22,26,20,1012,1003,0.0
2016-10-08,28,20,1008.78,94,21,35,22,25,14,1012,1004,0.0
2016-10-09,30,17,1007.68,74,21,35,24,22,9,1011,1003,0.0
2016-10-10,28,16,1008.31,69,27,34,22,20,10,1011,1004,0.0
2016-10-11,28,14,1008.88,73,13,35,21,20,6,1011,1005,0.0
2016-10-12,28,11,1008.90,57,11,34,22,17,5,1011,1005,0.0
2016-10-13,28,13,1010.86,57,18,34,22,17,8,1014,1007,0.0
2016-10-14,28,12,1011.36,48,15,34,23,15,9,1014,1000,0.0
2016-10-15,28,9,1012.19,61,6,35,20,15,1,1015,1008,0.0
2016-10-16,27,10,1013.15,62,12,35,19,16,6,1016,1001,0.0
2016-10-17,26,10,1012.30,57,11,34,19,16,6,1015,1008,0.0
2016-10-18,26,7,1011.33,57,8,35,18,14,4,1014,1007,0.0
2016-10-19,28,8,1010.40,49,10,35,20,11,5,1013,1006,0.0
2016-10-20,28,8,1009.43,38,10,34,22,9,6,1012,1006,0.0
2016-10-21,28,9,1010.65,47,12,34,21,12,5,1013,1007,0.0
2016-10-22,28,10,1011.64,47,15,34,21,15,8,1015,1008,0.0
2016-10-23,28,10,1011.44,53,14,34,21,13,7,1014,1007,0.0
2016-10-24,27,11,1010.78,47,14,33,21,13,9,1014,1007,0.0
2016-10-25,27,11,1010.90,50,18,33,21,13,9,1014,1002,0.0
2016-10-26,28,10,1013.20,53,13,34,21,16,5,1016,1009,0.0
2016-10-27,26,4,1015.66,43,6,34,17,11,-3,1019,1002,0.0
2016-10-28,24,5,1014.43,50,5,33,16,15,-4,1017,1010,0.0
2016-10-29,24,5,1013.59,77,6,34,15,13,-1,1016,1010,0.0
2016-10-30,24,5,1015.54,50,6,34,15,11,-1,1018,1012,0.0
2016-10-31,24,7,1017.94,49,16,32,15,11,3,1021,1002,0.0
2016-11-01,24,8,1017.56,63,13,31,17,13,3,1020,1014,0.0
2016-11-02,22,9,1017.16,59,17,30,14,12,5,1020,1014,0.0
2016-11-03,22,10,1017.35,72,14,30,14,14,7,1020,1014,0.0
2016-11-04,23,9,1014.39,64,14,31,15,14,6,1017,1010,0.0
2016-11-05,22,6,1012.07,68,8,31,14,13,0,1015,1008,0.0
2016-11-06,23,3,1012.68,59,7,33,13,9,-3,1015,1009,0.0
2016-11-07,24,2,1014.56,37,9,31,17,5,-1,1017,1011,0.0
2016-11-08,22,4,1015.83,67,8,31,13,10,-5,1018,1012,0.0
2016-11-09,22,2,1016.26,45,6,32,12,6,-3,1019,1013,0.0
2016-11-10,24,3,1015.07,49,7,32,16,7,-3,1018,1011,0.0
2016-11-11,24,4,1014.72,49,13,32,15,10,-1,1017,1011,0.0
2016-11-12,22,5,1015.83,48,10,31,14,10,2,1018,1013,0.0
2016-11-13,22,6,1017.25,52,10,30,14,11,3,1020,1014,0.0
2016-11-14,22,6,1016.80,55,10,30,13,10,1,1019,1014,0.0
2016-11-15,20,6,1016.76,63,12,28,12,11,1,1019,1014,0.0
2016-11-16,20,6,1018.41,59,14,29,12,10,4,1021,1016,0.0
2016-11-17,20,5,1018.46,63,12,29,12,11,2,1022,1015,0.0
2016-11-18,20,4,1016.47,72,8,30,11,11,-1,1020,1013,0.0
2016-11-19,20,3,1014.00,55,10,30,11,9,-2,1017,1010,0.0
2016-11-20,21,4,1014.34,63,9,31,11,9,-1,1017,1011,0.0
2016-11-21,22,5,1015.13,63,7,31,12,11,-1,1018,1012,0.0
2016-11-22,21,6,1014.61,67,13,30,12,10,2,1018,1011,0.0
2016-11-23,22,5,1014.49,52,14,30,13,10,2,1017,1011,0.0
2016-11-24,22,6,1016.50,67,13,31,12,12,0,1019,1013,0.0
2016-11-25,20,4,1015.93,69,7,29,12,11,-2,1019,1012,0.0
2016-11-26,23,3,1015.43,35,9,30,16,7,0,1018,1012,0.0
2016-11-27,24,4,1015.84,46,13,30,17,7,2,1019,1012,0.0
2016-11-28,22,4,1015.18,55,8,30,14,10,0,1018,1011,0.0
2016-11-29,22,6,1015.84,67,9,31,12,11,1,1018,1012,0.0
2016-11-30,20,7,1016.88,63,16,29,12,10,1,1020,1014,0.0
2016-12-01,20,10,1017.07,68,26,28,12,13,7,1020,1014,0.0
2016-12-02,22,10,1018.30,74,18,28,16,15,6,1021,1016,0.0
2016-12-03,19,5,1020.31,82,8,27,11,12,-2,1023,1018,0.0
2016-12-04,18,5,1020.79,62,21,27,10,9,1,1024,1018,0.0
2016-12-05,19,6,1018.63,67,14,27,11,10,3,1021,1015,0.0
2016-12-06,20,6,1018.60,77,10,29,11,11,2,1021,1016,0.0
2016-12-07,20,7,1017.90,77,10,29,11,13,1,1020,1014,0.0
2016-12-08,20,10,1016.54,94,20,29,11,14,4,1019,1013,0.0
2016-12-09,20,10,1014.73,94,21,29,11,15,4,1017,1011,0.0
2016-12-10,20,10,1014.11,77,16,29,12,12,7,1017,1003,0.0
2016-12-11,22,9,1014.23,84,18,29,14,13,5,1017,1011,0.0
2016-12-12,20,11,1015.02,88,24,27,13,15,8,1018,1012,0.0
2016-12-13,20,11,1015.60,68,28,26,15,13,9,1018,1013,0.0
2016-12-14,20,11,1017.59,77,24,26,14,14,8,1020,1015,0.0
2016-12-15,18,5,1017.85,72,13,26,11,9,2,1021,1015,0.0
2016-12-16,18,6,1018.70,63,20,26,10,8,4,1022,1016,0.0
2016-12-17,18,8,1018.17,76,25,26,10,10,6,1021,1015,0.0
2016-12-18,18,7,1018.27,72,21,26,11,10,5,1020,1016,0.0
2016-12-19,17,5,1018.69,77,10,25,9,9,-3,1021,1016,0.0
2016-12-20,18,3,1017.83,71,12,27,8,8,-2,1020,1014,0.0
2016-12-21,19,2,1017.80,51,10,27,11,8,-3,1021,1014,0.0
2016-12-22,19,2,1016.96,54,13,27,11,7,-3,1019,1012,0.0
2016-12-23,19,5,1014.98,67,10,28,10,10,1,1018,1011,0.0
2016-12-24,19,7,1011.96,76,14,28,10,10,2,1015,1008,0.0
2016-12-25,18,3,1014.75,72,6,24,13,10,-9,1019,1010,0.0
2016-12-26,18,7,1017.92,88,23,25,12,11,2,1020,1015,0.0
2016-12-27,17,6,1018.28,82,13,25,9,10,1,1021,1015,0.0
2016-12-28,18,8,1016.87,82,16,27,10,11,4,1019,1013,0.0
2016-12-29,19,8,1016.75,94,11,28,10,13,0,1020,1013,0.0
2016-12-30,17,13,1017.06,100,43,24,10,16,10,1019,1014,0.0
2016-12-31,16,13,1015.70,100,45,23,10,17,11,1018,1012,0.0
2017-01-01,18,11,1015.67,100,31,24,12,15,7,1018,1013,0.0
2017-01-02,16,13,1018.75,100,47,23,9,15,11,1021,1017,0.0
2017-01-03,16,12,1019.15,100,38,23,10,14,10,1022,1016,0.0
2017-01-04,17,13,1016.93,100,41,24,10,16,10,1019,1014,0.0
2017-01-05,18,11,1015.19,100,26,25,10,14,7,1018,1011,0.0
2017-01-06,18,13,1012.71,100,43,24,11,15,11,1015,1010,0.0
2017-01-07,18,10,1011.52,94,26,22,14,14,3,1013,1009,0.0
2017-01-08,16,9,1014.24,100,27,20,12,15,1,1017,1012,0.0
2017-01-09,15,5,1015.62,100,15,21,9,10,-1,1018,1014,0.0
2017-01-10,13,3,1017.00,94,17,19,7,9,-5,1019,1015,0.0
2017-01-11,10,-3,1017.54,70,13,18,3,2,-7,1020,1015,0.0
2017-01-12,12,-5,1017.24,75,4,19,4,2,-93,1020,1015,0.0
2017-01-13,12,-1,1017.75,70,10,20,4,1,-8,1020,1016,0.0
2017-01-14,12,2,1018.81,71,24,20,5,4,0,1021,1017,0.0
2017-01-15,14,3,1018.33,77,19,22,7,10,0,1021,1015,0.0
2017-01-16,15,3,1017.35,74,15,21,9,7,-2,1019,1015,0.0
2017-01-17,12,3,1018.52,100,4,20,5,7,-3,1021,1016,0.0
2017-01-18,14,5,1021.26,93,16,21,8,8,-2,1024,1019,0.0
2017-01-19,14,1,1022.69,87,9,23,6,7,-4,1026,1011,0.0
2017-01-20,14,2,1022.24,76,9,22,7,6,-4,1025,1019,0.0
2017-01-21,16,5,1020.79,63,25,22,9,8,2,1023,1018,0.0
2017-01-22,18,6,1021.53,67,19,24,12,11,-1,1025,1019,0.0
2017-01-23,18,9,1019.98,77,24,26,11,12,7,1023,1017,0.0
2017-01-24,21,12,1018.49,82,29,28,14,15,11,1022,1015,0.0
2017-01-25,22,14,1017.90,77,32,27,17,17,12,1021,1014,0.2
2017-01-26,16,15,1017.47,100,66,18,14,16,14,1020,1015,19.0
2017-01-27,14,12,1019.25,100,52,19,10,15,8,1021,1017,0.0
2017-01-28,15,11,1020.22,100,34,21,9,13,8,1023,1017,0.0
2017-01-29,18,10,1018.13,100,22,25,10,15,3,1020,1015,0.0
2017-01-30,18,12,1016.37,100,28,25,10,15,9,1019,1012,0.0
2017-01-31,18,11,1015.55,100,23,26,11,14,6,1018,1013,0.0
2017-02-01,18,13,1017.23,94,37,24,12,15,10,1020,1014,0.0
2017-02-02,20,11,1019.45,77,39,25,14,14,8,1022,1017,0.0
2017-02-03,19,13,1018.25,88,41,25,13,15,11,1021,1015,0.0
2017-02-04,20,14,1014.35,94,39,26,15,17,12,1017,1010,0.0
2017-02-05,21,13,1013.88,94,30,26,16,16,4,1016,1011,0.0
2017-02-06,18,3,1016.72,72,12,23,12,8,-5,1020,1014,0.0
2017-02-07,16,2,1017.09,71,10,24,8,5,-4,1020,1014,0.0
2017-02-08,17,5,1015.66,67,17,25,9,10,3,1018,1012,0.0
2017-02-09,17,2,1016.67,76,10,23,11,8,-3,1019,1014,0.0
2017-02-10,17,2,1016.79,67,11,24,10,8,-3,1020,1012,0.0
2017-02-11,16,2,1016.82,62,13,24,8,5,-1,1019,1014,0.0
2017-02-12,18,5,1019.89,64,21,24,11,8,2,1023,1017,0.0
2017-02-13,18,5,1022.08,72,10,26,11,9,-1,1025,1019,0.0
2017-02-14,18,2,1022.65,76,8,27,8,8,-4,1025,1019,0.0
2017-02-15,20,3,1022.00,63,6,29,11,9,-3,1025,1018,0.0
2017-02-16,22,4,1019.68,67,8,32,13,8,-1,1022,1015,0.0
2017-02-17,23,5,1018.52,59,7,32,14,9,-2,1021,1015,0.0
2017-02-18,23,8,1018.47,72,12,32,14,10,5,1021,1014,0.0
2017-02-19,24,8,1015.39,64,9,33,16,13,3,1019,1010,0.0
2017-02-20,24,6,1008.35,49,14,31,17,9,3,1011,1003,0.0
2017-02-21,20,0,1009.08,59,6,27,14,7,-8,1012,1006,0.0
2017-02-22,20,-3,1013.00,51,4,28,11,6,-14,1015,1010,0.0
2017-02-23,20,-3,1016.02,48,4,27,12,5,-9,1018,1013,0.0
2017-02-24,19,-4,1018.61,54,4,27,11,6,-94,1021,1015,0.0
2017-02-25,22,-1,1016.19,41,4,30,14,8,-8,1020,1011,0.0
2017-02-26,21,-0,1014.30,51,6,29,13,8,-9,1017,1011,0.0
2017-02-27,22,1,1015.17,44,6,31,12,6,-3,1018,1011,0.0
2017-02-28,25,3,1014.47,40,6,33,17,7,0,1018,1009,0.0
2017-03-01,25,7,1013.08,49,11,32,18,12,3,1016,1009,0.0
2017-03-02,24,12,1012.37,73,20,29,19,15,9,1016,1009,6.0
2017-03-03,22,5,1011.48,60,12,28,17,12,1,1014,1008,0.0
2017-03-04,21,3,1011.09,59,9,28,14,10,-3,1014,1008,0.0
2017-03-05,20,2,1012.21,71,8,28,13,14,-3,1015,1009,0.0
2017-03-06,22,1,1011.73,59,5,30,13,6,-5,1015,1007,0.0
2017-03-07,24,2,1009.62,42,6,31,16,6,-3,1013,1005,0.0
2017-03-08,24,6,1008.61,46,16,30,19,12,2,1011,1004,0.0
2017-03-09,23,10,1008.17,68,18,28,18,14,6,1011,1005,4.0
2017-03-10,18,14,1007.59,100,49,23,14,16,10,1010,1004,4.0
2017-03-11,18,5,1010.51,100,7,24,11,14,-6,1018,1007,0.0
2017-03-12,18,-1,1014.68,59,5,25,10,7,-8,1017,1011,0.0
2017-03-13,18,2,1015.33,55,8,26,11,5,-4,1018,1012,0.0
2017-03-14,21,2,1016.87,45,7,28,14,6,-3,1019,1014,0.0
2017-03-15,24,3,1015.54,51,12,31,16,8,-2,1018,1012,0.0
2017-03-16,24,2,1012.77,45,5,32,15,7,-4,1015,1008,0.0
2017-03-17,24,6,1011.91,59,11,30,17,12,1,1015,1008,0.0
2017-03-18,24,8,1011.43,64,17,31,17,14,5,1015,1006,0.4
2017-03-19,24,13,1012.86,78,18,31,17,15,8,1015,1009,0.8
2017-03-20,24,7,1014.30,73,6,32,16,16,-4,1017,1010,0.0
2017-03-21,25,5,1014.59,56,6,34,16,12,0,1017,1010,0.0
2017-03-22,28,6,1012.67,46,6,37,19,14,2,1016,1001,0.0
2017-03-23,30,6,1011.32,34,5,37,24,12,2,1014,1006,0.0
2017-03-24,28,8,1011.47,44,10,36,21,14,5,1014,1007,0.0
2017-03-25,28,6,1012.21,41,6,36,21,11,3,1015,1007,0.0
2017-03-26,29,7,1013.49,44,7,37,21,11,5,1017,1008,0.0
2017-03-27,30,7,1012.53,43,5,40,21,13,2,1015,1007,0.0
2017-03-28,32,5,1011.57,47,4,41,23,13,-2,1015,1006,0.0
2017-03-29,32,3,1010.11,34,4,40,25,11,-8,1013,1005,0.0
2017-03-30,32,2,1009.89,47,4,41,24,15,-7,1013,1005,0.0
2017-03-31,30,1,1010.86,29,5,39,22,6,-4,1014,1006,0.0
2017-04-01,32,1,1008.64,22,4,40,25,10,-2,1012,1004,0.0
2017-04-02,32,4,1007.05,27,4,39,25,14,-2,1010,1003,0.0
2017-04-03,32,6,1007.27,34,6,40,23,11,3,1011,1002,0.0
2017-04-04,32,8,1008.05,34,9,39,25,12,6,1011,1003,0.0
2017-04-05,32,7,1005.82,36,8,40,24,12,-1,1018,999,0.0
2017-04-06,31,6,1005.19,45,5,36,26,15,-3,1008,1001,0.0
2017-04-07,28,-8,1009.31,28,4,34,22,6,-15,1012,1005,0.0
2017-04-08,26,-10,1012.43,15,4,34,19,1,-18,1015,1008,0.0
2017-04-09,28,-8,1013.15,19,4,34,22,-0,-21,1016,1009,0.0
2017-04-10,26,-5,1011.80,21,4,35,18,6,-8,1015,1007,0.0
2017-04-11,30,-2,1010.30,29,4,38,21,7,-9,1014,1005,0.0
2017-04-12,30,-0,1009.29,33,4,40,21,8,-9,1012,1004,0.0
2017-04-13,32,-1,1008.90,32,4,41,23,9,-7,1012,1003,0.0
2017-04-14,33,-1,1007.07,23,4,42,24,8,-9,1010,1001,0.0
2017-04-15,34,1,1005.69,30,4,42,25,8,-10,1014,999,0.0
2017-04-16,34,-1,1006.12,23,4,43,26,7,-9,1010,1001,0.0
2017-04-17,35,2,1007.02,20,4,43,27,10,-3,1010,1002,0.0
2017-04-18,36,4,1006.95,24,5,43,29,14,-5,1010,1001,0.0
2017-04-19,35,4,1004.82,27,4,42,28,14,-3,1008,999,0.0
2017-04-20,36,9,1002.87,35,7,43,28,15,4,1006,997,0.0
2017-04-21,36,4,1003.47,24,4,43,30,10,1,1006,998,0.0
2017-04-22,34,6,1005.09,29,4,40,29,12,1,1008,1001,0.0
2017-04-23,34,8,1005.52,29,9,39,28,11,5,1009,1001,0.0
2017-04-24,32,9,1007.02,34,9,38,25,16,1,1010,1003,0.0
2017-04-25,30,8,1007.85,47,9,36,25,18,1,1011,1004,2.0
2017-04-26,29,7,1008.26,61,5,38,20,15,-3,1011,1004,0.0
2017-04-27,31,3,1009.11,36,4,39,23,12,-8,1012,1002,0.0
2017-04-28,32,5,1008.16,34,4,40,24,15,-1,1011,1002,0.0
2017-04-29,32,7,1007.94,30,7,37,26,17,4,1011,1004,0.0
